,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,40.2,36.4,1,0.9,1.4,1.3
2,0400000US09,44.6,41.4,1.6,1.6,1.6,1.5
3,0400000US05,40.5,28.9,1,0.7,1.3,1
4,0400000US08,46,43.8,1.3,1.2,1.9,1.8
5,0400000US10,42.2,38.4,1.4,1.3,1.4,1.3
6,0400000US01,42.9,31.6,1.2,0.8,1.4,1.1
7,0400000US13,40.5,35.1,1.1,0.9,1.4,1.3
8,0400000US11,41.4,38.6,1.5,1.4,1.5,1.4
9,0400000US12,41.4,35.4,1.2,1,1.3,1.3
10,0400000US20,47.5,41.4,1.1,0.9,1.4,1.3
11,0400000US17,47.5,42.8,1.4,1.1,1.6,1.5
12,0400000US22,39.9,31,1.2,0.8,1.3,1.1
13,0400000US24,45.8,42.9,1.5,1.4,1.7,1.7
14,0400000US25,44.3,42.1,1.3,1.3,1.4,1.4
15,0400000US29,44.5,37.7,1.1,0.9,1.4,1.2
16,0400000US35,32,27.8,0.9,0.8,1.3,1.2
17,0400000US37,39.9,34.2,1.4,1.2,1.6,1.5
18,0400000US33,40.4,38.7,1.2,1.1,1.4,1.4
19,0400000US30,34.5,30.4,1.1,1,1.4,1.4
20,0400000US31,48.6,43.2,1.1,0.8,1.3,1.2
21,0400000US34,44,41.1,1.5,1.4,1.5,1.4
22,0400000US39,46.7,40.6,1.5,1.4,1.6,1.5
23,0400000US38,42.8,38.4,1.3,1,1.3,1.2
24,0400000US23,34.2,29.2,1,0.9,1.2,1.1
25,0400000US54,30.8,22.7,1.1,1,1.2,1.1
26,0400000US02,26.7,25.3,0.8,0.8,1.3,1.2
27,0400000US72,2.6,2.5,0.4,0.4,0.6,0.5
28,0400000US16,45.8,43.2,1.3,1.2,1.6,1.6
29,0400000US55,50,46.5,1.3,1.2,1.6,1.5
30,0400000US40,38.3,31.1,1.1,0.8,1.3,1.2
31,0400000US42,44.3,39.5,1.4,1.3,1.6,1.5
32,0400000US47,43.4,35.1,1.3,1,1.5,1.4
33,0400000US26,49.5,42.7,1.2,1,1.5,1.3
34,0400000US56,33.5,30.8,1.2,1.1,1.3,1.3
35,0400000US50,33.7,30.2,1.1,1,1.2,1.1
36,0400000US21,43.6,34.9,1.5,1.2,1.7,1.6
37,0400000US32,41.9,38.5,1,0.9,1.5,1.4
38,0400000US46,43.3,39.1,1.1,1,1.3,1.2
39,0400000US15,35.5,32.4,1.3,1.3,1.6,1.5
40,0400000US41,44.5,41.5,1.1,1,1.5,1.5
41,0400000US45,38.6,31.4,1.1,1,1.5,1.4
42,0400000US49,47.9,47.5,1.4,1.3,1.9,1.8
43,0400000US19,48.8,43.6,1.2,1.1,1.4,1.3
44,0400000US44,40,36.2,1.4,1.4,1.2,1.2
45,0400000US27,51.8,48.4,1.6,1.5,2,1.9
46,0400000US28,42.6,27.2,1,0.6,1.2,0.9
47,0400000US51,48.4,43.1,1.4,1.2,1.7,1.6
48,0400000US53,46.7,44.9,1.3,1.2,1.7,1.7
49,0400000US48,37.9,33.5,1.1,0.8,1.5,1.4
50,0400000US18,46.5,40,1.4,1.2,1.5,1.4
51,0400000US06,42.6,39.7,1.4,1.2,1.6,1.5
52,0400000US36,37.4,33.6,1.2,1.1,1.4,1.3
